Fibo Num,Recursive Adds,Recursive Subtracts,Recursive Func Calls,Recursive Time,Recursive Memory,Iterative Adds,Iterative Subtracts,Iterative Func Calls,Iterative Time,Iterative Memory
0,0,0,1,2.100015990436077e-06,48,0,0,1,1.600012183189392e-06,0
1,0,0,1,8.00006091594696e-07,24,0,0,1,3.600027412176132e-06,80
2,1,0,3,1.300009898841381e-06,24,1,0,1,2.00001522898674e-06,80
3,2,0,5,1.300009898841381e-06,24,2,0,1,1.600012183189392e-06,80
4,4,0,9,1.600012183189392e-06,24,3,0,1,1.500011421740055e-06,80
5,7,0,15,2.399901859462261e-06,24,4,0,1,1.300009898841381e-06,80
