timestamp,n_items,elapsed_seconds
2025-11-10T18:58:11,100,0.000177
2025-11-10T18:58:11,100,0.000171
2025-11-10T18:58:11,100,0.000174
2025-11-10T18:58:11,200,0.000380
2025-11-10T18:58:11,200,0.000318
2025-11-10T18:58:11,200,0.000307
2025-11-10T18:58:11,400,0.000673
2025-11-10T18:58:11,400,0.000676
2025-11-10T18:58:11,400,0.000672
2025-11-10T18:58:11,800,0.001510
2025-11-10T18:58:11,800,0.001495
2025-11-10T18:58:11,800,0.001466
2025-11-10T18:58:11,1600,0.003194
2025-11-10T18:58:11,1600,0.003228
2025-11-10T18:58:11,1600,0.003200
2025-11-10T18:58:11,3200,0.006891
2025-11-10T18:58:11,3200,0.006891
2025-11-10T18:58:12,3200,0.006891
2025-11-10T18:58:12,6400,0.014892
2025-11-10T18:58:12,6400,0.014793
2025-11-10T18:58:12,6400,0.014747
2025-11-10T18:58:12,10000,0.024280
2025-11-10T18:58:12,10000,0.024344
2025-11-10T18:58:12,10000,0.024218
2025-11-10T18:58:12,20000,0.052061
2025-11-10T18:58:12,20000,0.051910
2025-11-10T18:58:12,20000,0.052273
2025-11-10T18:58:12,30000,0.080297
2025-11-10T18:58:12,30000,0.080116
2025-11-10T18:58:12,30000,0.080370
2025-11-10T18:58:12,40000,0.109763
2025-11-10T18:58:12,40000,0.109645
2025-11-10T18:58:13,40000,0.109736
