batch size,balanced head count,possible outcomes,possible balanced outcomes,calculated percentage,"observed percentage,",percentage error,time in seconds
 98, 49, 316912650057057350374175801344, 25477612258980858042825834496, 8.04%, 7.20%, 0.84%, 0.020926
 100, 50, 1267650600228229401496703205376, 100891344545564202071714955264, 7.96%, 9.10%, 1.14%, 0.023319
 102, 51, 5070602400912917605986812821504, 399608854866744482497650753536, 7.88%, 8.20%, 0.32%, 0.015188
 104, 52, 20282409603651670423947251286016, 1583065848125949179669308768256, 7.81%, 7.00%, 0.81%, 0.013360
 106, 53, 81129638414606681695789005144064, 6272525058612251572831214632960, 7.73%, 9.90%, 2.17%, 0.014314
 108, 54, 324518553658426726783156020576256, 24857784491537439458357197930496, 7.66%, 8.10%, 0.44%, 0.022529
 110, 55, 1298074214633706907132624082305024, 98527218530093864209181977870336, 7.59%, 6.60%, 0.99%, 0.024634
 112, 56, 5192296858534827628530496329220096, 390590044887157806605200995123200, 7.52%, 6.70%, 0.82%, 0.022320
 114, 57, 20769187434139310514121985316880384, 1548655265692941377687156173045760, 7.46%, 6.80%, 0.66%, 0.016062
 116, 58, 83076749736557242056487941267521536, 6141219157058216185750939781562368, 7.39%, 7.50%, 0.11%, 0.022291
 118, 59, 332306998946228968225951765070086144, 24356699707654620243783880280113152, 7.33%, 6.80%, 0.53%, 0.020604
 120, 60, 1329227995784915872903807060280344576, 96614908840363320510648965979439104, 7.27%, 7.30%, 0.03%, 0.026422
 122, 61, 5316911983139663491615228241121378304, 383291933432261069847172205709885440, 7.21%, 6.30%, 0.91%, 0.023565
 124, 62, 21267647932558653966460912964485513216, 1520803477811874488910708502343712768, 7.15%, 7.30%, 0.15%, 0.024449
 126, 63, 85070591730234615865843651857942052864, 6034934435761406252277432196318363648, 7.09%, 7.00%, 0.09%, 0.026587
 128, 64, 340282366920938463463374607431768211456, 23951146041928085048222778950401654784, 7.04%, 7.60%, 0.56%, 0.025853
 130, 65, 1361129467683753853853498429727072845824, 95067625827960695037201642220324651008, 6.98%, 6.10%, 0.88%, 0.031664
 132, 66, 5444517870735015415413993718908291383296, 377389666165540982118635218100616691712, 6.93%, 5.80%, 1.13%, 0.022810
 134, 67, 21778071482940061661655974875633165533184, 1498293301493043322441768881809281515520, 6.88%, 7.10%, 0.22%, 0.023701
 136, 68, 87112285931760246646623899502532662132736, 5949105755928260170869285438568745926656, 6.83%, 6.60%, 0.23%, 0.025590
 138, 69, 348449143727040986586495598010130648530944, 23623985175715117470714656057586379390976, 6.78%, 7.20%, 0.42%, 0.032638
 140, 70, 1393796574908163946345982392040522594123776, 93820969697840035053701952696447316000768, 6.73%, 6.10%, 0.63%, 0.044837
 142, 71, 5575186299632655785383929568162090376495104, 372641034574519600911024748353975891263488, 6.68%, 8.50%, 1.82%, 0.026679
 144, 72, 22300745198530623141535718272648361505980416, 1480212998448786078600004413383233106870272, 6.64%, 5.90%, 0.74%, 0.030113
 146, 73, 89202980794122492566142873090593446023921664, 5880298213015726340193057331809327857532928, 6.59%, 6.60%, 0.01%, 0.022787
 148, 74, 356811923176489970264571492362373784095686656, 23362265873332746914458786659030836652802048, 6.55%, 6.90%, 0.35%, 0.027197
 150, 75, 1427247692705959881058285969449495136382746624, 92826069736708782790059766800943172160585728, 6.50%, 4.60%, 1.90%, 0.027774
 152, 76, 5708990770823839524233143877797980545530986496, 368861487637974427405900250769713474473820160, 6.46%, 7.30%, 0.84%, 0.033456
 154, 77, 22835963083295358096932575511191922182123945984, 1465865132691171012630954552062328443431288832, 6.42%, 5.80%, 0.62%, 0.025201
 156, 78, 91343852333181432387730302044767688728495783936, 5825874245311064077820043695980183317370634240, 6.38%, 6.50%, 0.12%, 0.025543
 158, 79, 365375409332725729550921208179070754913983135744, 23156006494021190210498092451250656340485341184, 6.34%, 6.70%, 0.36%, 0.033328
 160, 80, 1461501637330902918203684832716283019655932542976, 92045125813734228044368476945970795361341538304, 6.30%, 5.50%, 0.80%, 0.032439
 162, 81, 5846006549323611672814739330865132078623730171904, 365907784099042256406489918735961038109513089024, 6.26%, 6.10%, 0.16%, 0.030847
 164, 82, 23384026197294446691258957323460528314494920687616, 1454706556296192517803503183722178605602779955200, 6.22%, 5.80%, 0.42%, 0.019749
 166, 83, 93536104789177786765035829293842113257979682750464, 5783773055153536497018834726941991637748641955840, 6.18%, 7.00%, 0.82%, 0.038805
 168, 84, 374144419156711147060143317175368453031918731001856, 22997383338348585147144506838346725001927952695296, 6.15%, 5.80%, 0.35%, 0.031651
 170, 85, 1496577676626844588240573268701473812127674924007424, 91448418451315555053431781394622593499998416011264, 6.11%, 5.20%, 0.91%, 0.030559
 172, 86, 5986310706507378352962293074805895248510699696029696, 363666966399417647788564545985479703913452976209920, 6.07%, 5.70%, 0.37%, 0.038420
 174, 87, 23945242826029513411849172299223580994042798784118784, 1446307705450557573291679013992700751932836685021184, 6.04%, 6.20%, 0.16%, 0.030996
 176, 88, 95780971304118053647396689196894323976171195136475136, 5752360192132899084263974476726389203829851399651328, 6.01%, 6.90%, 0.89%, 0.028606
 178, 89, 383123885216472214589586756787577295904684780545900544, 22880174247360070604548482465962213658186626484928512, 5.97%, 6.50%, 0.53%, 0.042299
 180, 90, 1532495540865888858358347027150309183618739122183602176, 91012248672832287406728742792412445099123856067526656, 5.94%, 5.60%, 0.34%, 0.034539
 182, 91, 6129982163463555433433388108601236734474956488734408704, 362048725489728432768557351445439913907632241729601536, 5.91%, 5.60%, 0.31%, 0.029500
 184, 92, 24519928653854221733733552434404946937899825954937634816, 1440324277491745782695120052440387561259504598882713600, 5.87%, 5.60%, 0.27%, 0.033292
 186, 93, 98079714615416886934934209737619787751599303819750539264, 5730322394321998977294548316851829294643083263938134016, 5.84%, 6.40%, 0.56%, 0.033574
 188, 94, 392318858461667547739736838950479151006397215279002157056, 22799367824217315760438787783393779652244035509417934848, 5.81%, 6.40%, 0.59%, 0.031886
 190, 95, 1569275433846670190958947355801916604025588861116008628224, 90717484605833105071306617909545105736659777030398672896, 5.78%, 5.80%, 0.02%, 0.039967
 192, 96, 6277101735386680763835789423207666416102355444464034512896, 360979990827377574138045258059885470478363585719841062912, 5.75%, 5.20%, 0.55%, 0.036100
 194, 97, 25108406941546723055343157692830665664409421777856138051584, 1436477076900698333923178491809288585641385298308236312576, 5.72%, 4.70%, 1.02%, 0.034395
 196, 98, 100433627766186892221372630771322662657637687111424552206336, 5716592448890534538025559599823267555746984381052513943552, 5.69%, 5.00%, 0.69%, 0.072798
 198, 99, 401734511064747568885490523085290650630550748445698208825344, 22750883079422935138508509184433581249481632457411272900608, 5.66%, 6.60%, 0.94%, 0.037137
 200, 100, 1606938044258990275541962092341162602522202993782792835301376, 90548514656103280680474743631187938442311687866457887080448, 5.63%, 6.30%, 0.67%, 0.032590
 202, 101, 6427752177035961102167848369364650410088811975131171341205504, 360401018730232857971731538133589763579441112288407708499968, 5.61%, 5.60%, 0.01%, 0.046586
 204, 102, 25711008708143844408671393477458601640355247900524685364822016, 1434537388279162145294826774334853631262982833813773992591360, 5.58%, 5.40%, 0.18%, 0.044216
 206, 103, 102844034832575377634685573909834406561420991602098741459288064, 5710294458198606774449388926973577401077369634414663357693952, 5.55%, 5.10%, 0.45%, 0.046737
 208, 104, 411376139330301510538742295639337626245683966408394965837152256, 22731364477829069234041384015857513469915126156722934816702464, 5.53%, 3.80%, 1.73%, 0.029179
 210, 105, 1645504557321206042154969182557350504982735865633579863348609024, 90492479540310009113869246010475801934513851113372651333091328, 5.50%, 5.90%, 0.40%, 0.039553
 212, 106, 6582018229284824168619876730229402019930943462534319453394436096, 360262512886894577942288046988047079492306857205117303341973504, 5.47%, 4.30%, 1.17%, 0.037027
 214, 107, 26328072917139296674479506920917608079723773850137277813577744384, 1434316172802028840282744377171782557386902103414005616676438016, 5.45%, 5.40%, 0.05%, 0.045523
 216, 108, 105312291668557186697918027683670432318895095400549111254310977536, 5710703280600670304795793217881247407455371447679583816196816896, 5.42%, 4.30%, 1.12%, 0.051644
 218, 109, 421249166674228746791672110734681729275580381602196445017243910144, 22738029575969640176924084949066934112846893863405363188436303872, 5.40%, 4.30%, 1.10%, 0.039110
 220, 110, 1684996666696914987166688442938726917102321526408785780068975640576, 90538699584315486225908794380755348045167773209873779095899209728, 5.37%, 6.40%, 1.03%, 0.030985
 222, 111, 6739986666787659948666753771754907668409286105635143120275902562304, 360523470416823814130684307160904344260116868561885960393898065920, 5.35%, 3.90%, 1.45%, 0.036393
 224, 112, 26959946667150639794667015087019630673637144422540572481103610249216, 1435655962552709052678617252027444255645118462078200155993240764416, 5.33%, 4.50%, 0.83%, 0.038954
 226, 113, 107839786668602559178668060348078522694548577690162289924414440996864, 5717214010165655681756232761868992221126777429453489104079435071488, 5.30%, 4.00%, 1.30%, 0.037231
 228, 114, 431359146674410236714672241392314090778194310760649159697657763987456, 22768554040484276840272943366148731659172767165385781430158505279488, 5.28%, 5.40%, 0.12%, 0.035820
 230, 115, 1725436586697640946858688965569256363112777243042596638790631055949824, 90678241309059123633678854119304192697599440634480439471932815966208, 5.26%, 5.90%, 0.64%, 0.041853
 232, 116, 6901746346790563787434755862277025452451108972170386555162524223799296, 361149547282632021931670713606984613292334537860034648094877501358080, 5.23%, 5.40%, 0.17%, 0.042909
 234, 117, 27606985387162255149739023449108101809804435888681546220650096895197184, 1438424692595782314875606580439997077435298481737310289466841691586560, 5.21%, 4.80%, 0.41%, 0.037122
 236, 118, 110427941548649020598956093796432407239217743554726184882600387580788736, 5729318690847607427947614714513832107686335447366245414481967615836160, 5.19%, 5.00%, 0.19%, 0.045676
 238, 119, 441711766194596082395824375185729628956870974218904739530401550323154944, 22820983692956016064304169155329607301623872597897018695395108544577536, 5.17%, 5.10%, 0.07%, 0.043153
 240, 120, 1766847064778384329583297500742918515827483896875618958121606201292619776, 90903585043608133108137805854151775791490335955451151593306444529664000, 5.14%, 6.30%, 1.16%, 0.043108
 242, 121, 7067388259113537318333190002971674063309935587502475832486424805170479104, 362111801578670398723702375380759179341167372288773503403200675852582912, 5.12%, 5.80%, 0.68%, 0.040078
 244, 122, 28269553036454149273332760011886696253239742350009903329945699220681916416, 1442510947272408277512547293593225276741302896947150922868716194051915776, 5.10%, 5.50%, 0.40%, 0.051936
 246, 123, 113078212145816597093331040047546785012958969400039613319782796882727665664, 5746588326532358051125153133284377853770446028332828552437254666059776000, 5.08%, 5.90%, 0.82%, 0.046227
 248, 124, 452312848583266388373324160190187140051835877600158453279131187530910662656, 22893666397636976487098249319378611825352026643946847066788173164086034432, 5.06%, 4.30%, 0.76%, 0.085079
 250, 125, 1809251394333065553493296640760748560207343510400633813116524750123642650624, 91208366928185717287391444390917710042695081903502787114395851672743051264, 5.04%, 5.50%, 0.46%, 0.047204
