range,run,cpu_primes,cpu_time,gpu_primes,gpu_time
10000000,1,664579,0.0349,664579,0.3896
10000000,2,664579,0.0343,664579,0.0741
10000000,3,664579,0.0324,664579,0.0742
100000000,1,5761455,0.9715,5761455,0.3082
100000000,2,5761455,0.967,5761455,0.3133
100000000,3,5761455,0.9677,5761455,0.3127
500000000,1,26355867,5.9433,26355867,0.9862
500000000,2,26355867,5.9461,26355867,0.9817
500000000,3,26355867,5.9442,26355867,0.9899
1000000000,1,50847534,12.448,50847534,1.736
1000000000,2,50847534,12.4477,50847534,1.7387
1000000000,3,50847534,12.4547,50847534,1.7411
