games,ev,house_edge
10000,-0.0166,0.0166
20000,-0.0182,0.0182
30000,-0.0144,0.0144
40000,-0.01205,0.01205
50000,-0.01028,0.01028
60000,-0.012933333333333333,0.012933333333333333
70000,-0.012542857142857142,0.012542857142857142
80000,-0.01235,0.01235
90000,-0.011377777777777778,0.011377777777777778
100000,-0.01386,0.01386
110000,-0.0144,0.0144
120000,-0.01515,0.01515
130000,-0.014461538461538461,0.014461538461538461
140000,-0.014557142857142857,0.014557142857142857
150000,-0.014626666666666666,0.014626666666666666
160000,-0.0145625,0.0145625
170000,-0.01491764705882353,0.01491764705882353
180000,-0.015466666666666667,0.015466666666666667
190000,-0.015189473684210527,0.015189473684210527
200000,-0.01547,0.01547
210000,-0.015152380952380952,0.015152380952380952
220000,-0.015163636363636364,0.015163636363636364
230000,-0.014304347826086956,0.014304347826086956
240000,-0.01395,0.01395
250000,-0.013656,0.013656
260000,-0.01373076923076923,0.01373076923076923
270000,-0.013385185185185186,0.013385185185185186
280000,-0.013221428571428571,0.013221428571428571
290000,-0.01306896551724138,0.01306896551724138
300000,-0.012986666666666667,0.012986666666666667
310000,-0.013580645161290322,0.013580645161290322
320000,-0.01335625,0.01335625
330000,-0.012727272727272728,0.012727272727272728
340000,-0.01278235294117647,0.01278235294117647
350000,-0.012714285714285714,0.012714285714285714
360000,-0.012994444444444444,0.012994444444444444
370000,-0.01314054054054054,0.01314054054054054
380000,-0.013273684210526316,0.013273684210526316
390000,-0.012917948717948718,0.012917948717948718
400000,-0.012745,0.012745
410000,-0.01228780487804878,0.01228780487804878
420000,-0.0125,0.0125
430000,-0.012455813953488373,0.012455813953488373
440000,-0.012527272727272727,0.012527272727272727
450000,-0.012666666666666666,0.012666666666666666
460000,-0.012852173913043479,0.012852173913043479
470000,-0.013085106382978724,0.013085106382978724
480000,-0.012916666666666667,0.012916666666666667
490000,-0.012991836734693878,0.012991836734693878
500000,-0.01312,0.01312
510000,-0.013274509803921569,0.013274509803921569
520000,-0.01345,0.01345
530000,-0.013464150943396227,0.013464150943396227
540000,-0.013348148148148149,0.013348148148148149
550000,-0.013294545454545455,0.013294545454545455
560000,-0.013471428571428572,0.013471428571428572
570000,-0.013617543859649122,0.013617543859649122
580000,-0.013496551724137931,0.013496551724137931
590000,-0.01336949152542373,0.01336949152542373
600000,-0.0132,0.0132
610000,-0.012872131147540983,0.012872131147540983
620000,-0.012935483870967742,0.012935483870967742
630000,-0.012841269841269841,0.012841269841269841
640000,-0.012946875,0.012946875
650000,-0.012707692307692307,0.012707692307692307
660000,-0.012772727272727272,0.012772727272727272
670000,-0.012576119402985074,0.012576119402985074
680000,-0.012473529411764706,0.012473529411764706
690000,-0.01249855072463768,0.01249855072463768
700000,-0.01246,0.01246
710000,-0.012611267605633802,0.012611267605633802
720000,-0.012530555555555555,0.012530555555555555
730000,-0.012575342465753425,0.012575342465753425
740000,-0.012672972972972972,0.012672972972972972
750000,-0.012605333333333333,0.012605333333333333
760000,-0.012484210526315789,0.012484210526315789
770000,-0.012774025974025974,0.012774025974025974
780000,-0.0127,0.0127
790000,-0.012784810126582278,0.012784810126582278
800000,-0.012695,0.012695
810000,-0.012577777777777778,0.012577777777777778
820000,-0.01251219512195122,0.01251219512195122
830000,-0.012684337349397591,0.012684337349397591
840000,-0.012671428571428571,0.012671428571428571
850000,-0.012607058823529412,0.012607058823529412
860000,-0.01262093023255814,0.01262093023255814
870000,-0.01245287356321839,0.01245287356321839
880000,-0.012329545454545454,0.012329545454545454
890000,-0.012265168539325843,0.012265168539325843
900000,-0.012413333333333334,0.012413333333333334
910000,-0.01236923076923077,0.01236923076923077
920000,-0.012195652173913043,0.012195652173913043
930000,-0.012227956989247312,0.012227956989247312
940000,-0.01237659574468085,0.01237659574468085
950000,-0.012454736842105263,0.012454736842105263
960000,-0.01255,0.01255
970000,-0.012577319587628866,0.012577319587628866
980000,-0.012438775510204081,0.012438775510204081
990000,-0.012371717171717173,0.012371717171717173
1000000,-0.012278,0.012278
