batch size,balanced head count,possible outcomes,possible balanced outcomes,calculated percentage,"observed percentage,",percentage error,time in seconds
 132, 66, 5444517870735015415413993718908291383296, 377389666165540982118635218100616691712, 6.93%, 6.67%, 0.26%, 0.892369
 134, 67, 21778071482940061661655974875633165533184, 1498293301493043322441768881809281515520, 6.88%, 6.88%, 0.00%, 1.017597
 136, 68, 87112285931760246646623899502532662132736, 5949105755928260170869285438568745926656, 6.83%, 7.32%, 0.49%, 1.115139
 138, 69, 348449143727040986586495598010130648530944, 23623985175715117470714656057586379390976, 6.78%, 6.31%, 0.47%, 1.002619
 140, 70, 1393796574908163946345982392040522594123776, 93820969697840035053701952696447316000768, 6.73%, 6.53%, 0.20%, 0.851262
 142, 71, 5575186299632655785383929568162090376495104, 372641034574519600911024748353975891263488, 6.68%, 6.65%, 0.03%, 0.745498
 144, 72, 22300745198530623141535718272648361505980416, 1480212998448786078600004413383233106870272, 6.64%, 6.37%, 0.27%, 0.737371
 146, 73, 89202980794122492566142873090593446023921664, 5880298213015726340193057331809327857532928, 6.59%, 6.54%, 0.05%, 1.005695
 148, 74, 356811923176489970264571492362373784095686656, 23362265873332746914458786659030836652802048, 6.55%, 6.42%, 0.13%, 0.989604
 150, 75, 1427247692705959881058285969449495136382746624, 92826069736708782790059766800943172160585728, 6.50%, 6.46%, 0.04%, 0.671776
 152, 76, 5708990770823839524233143877797980545530986496, 368861487637974427405900250769713474473820160, 6.46%, 6.35%, 0.11%, 0.729042
 154, 77, 22835963083295358096932575511191922182123945984, 1465865132691171012630954552062328443431288832, 6.42%, 6.76%, 0.34%, 0.730014
 156, 78, 91343852333181432387730302044767688728495783936, 5825874245311064077820043695980183317370634240, 6.38%, 6.38%, 0.00%, 0.774024
 158, 79, 365375409332725729550921208179070754913983135744, 23156006494021190210498092451250656340485341184, 6.34%, 6.46%, 0.12%, 0.712364
 160, 80, 1461501637330902918203684832716283019655932542976, 92045125813734228044368476945970795361341538304, 6.30%, 6.12%, 0.18%, 0.785192
 162, 81, 5846006549323611672814739330865132078623730171904, 365907784099042256406489918735961038109513089024, 6.26%, 6.68%, 0.42%, 0.909975
 164, 82, 23384026197294446691258957323460528314494920687616, 1454706556296192517803503183722178605602779955200, 6.22%, 6.37%, 0.15%, 0.921921
 166, 83, 93536104789177786765035829293842113257979682750464, 5783773055153536497018834726941991637748641955840, 6.18%, 6.23%, 0.05%, 1.217425
 168, 84, 374144419156711147060143317175368453031918731001856, 22997383338348585147144506838346725001927952695296, 6.15%, 5.87%, 0.28%, 1.178464
 170, 85, 1496577676626844588240573268701473812127674924007424, 91448418451315555053431781394622593499998416011264, 6.11%, 5.73%, 0.38%, 1.119429
 172, 86, 5986310706507378352962293074805895248510699696029696, 363666966399417647788564545985479703913452976209920, 6.07%, 6.05%, 0.02%, 1.289640
 174, 87, 23945242826029513411849172299223580994042798784118784, 1446307705450557573291679013992700751932836685021184, 6.04%, 6.18%, 0.14%, 1.161378
