batch size,balanced head count,possible outcomes,possible balanced outcomes,calculated percentage,"observed percentage,",percentage error,time in seconds
166,83,9.35361E+49,5.78377E+48,6.18%,7.00%,0.82%,0.038805
168,84,3.74144E+50,2.29974E+49,6.15%,5.80%,0.35%,0.031651
170,85,1.49658E+51,9.14484E+49,6.11%,5.20%,0.91%,0.030559
172,86,5.98631E+51,3.63667E+50,6.07%,5.70%,0.37%,0.03842
174,87,2.39452E+52,1.44631E+51,6.04%,6.20%,0.16%,0.030996
176,88,9.5781E+52,5.75236E+51,6.01%,6.90%,0.89%,0.028606
178,89,3.83124E+53,2.28802E+52,5.97%,6.50%,0.53%,0.042299
180,90,1.5325E+54,9.10122E+52,5.94%,5.60%,0.34%,0.034539
182,91,6.12998E+54,3.62049E+53,5.91%,5.60%,0.31%,0.0295
184,92,2.45199E+55,1.44032E+54,5.87%,5.60%,0.27%,0.033292
186,93,9.80797E+55,5.73032E+54,5.84%,6.40%,0.56%,0.033574
188,94,3.92319E+56,2.27994E+55,5.81%,6.40%,0.59%,0.031886
190,95,1.56928E+57,9.07175E+55,5.78%,5.80%,0.02%,0.039967
192,96,6.2771E+57,3.6098E+56,5.75%,5.20%,0.55%,0.0361
194,97,2.51084E+58,1.43648E+57,5.72%,4.70%,1.02%,0.034395
196,98,1.00434E+59,5.71659E+57,5.69%,5.00%,0.69%,0.072798
198,99,4.01735E+59,2.27509E+58,5.66%,6.60%,0.94%,0.037137
200,100,1.60694E+60,9.05485E+58,5.63%,6.30%,0.67%,0.03259
202,101,6.42775E+60,3.60401E+59,5.61%,5.60%,0.01%,0.046586
204,102,2.5711E+61,1.43454E+60,5.58%,5.40%,0.18%,0.044216
206,103,1.02844E+62,5.71029E+60,5.55%,5.10%,0.45%,0.046737
208,104,4.11376E+62,2.27314E+61,5.53%,3.80%,1.73%,0.029179
210,105,1.6455E+63,9.04925E+61,5.50%,5.90%,0.40%,0.039553
212,106,6.58202E+63,3.60263E+62,5.47%,4.30%,1.17%,0.037027
214,107,2.63281E+64,1.43432E+63,5.45%,5.40%,0.05%,0.045523
216,108,1.05312E+65,5.7107E+63,5.42%,4.30%,1.12%,0.051644
218,109,4.21249E+65,2.2738E+64,5.40%,4.30%,1.10%,0.03911
220,110,1.685E+66,9.05387E+64,5.37%,6.40%,1.03%,0.030985
222,111,6.73999E+66,3.60523E+65,5.35%,3.90%,1.45%,0.036393
224,112,2.69599E+67,1.43566E+66,5.33%,4.50%,0.83%,0.038954
226,113,1.0784E+68,5.71721E+66,5.30%,4.00%,1.30%,0.037231
228,114,4.31359E+68,2.27686E+67,5.28%,5.40%,0.12%,0.03582
230,115,1.72544E+69,9.06782E+67,5.26%,5.90%,0.64%,0.041853
232,116,6.90175E+69,3.6115E+68,5.23%,5.40%,0.17%,0.042909
234,117,2.7607E+70,1.43842E+69,5.21%,4.80%,0.41%,0.037122
236,118,1.10428E+71,5.72932E+69,5.19%,5.00%,0.19%,0.045676
238,119,4.41712E+71,2.2821E+70,5.17%,5.10%,0.07%,0.043153
240,120,1.76685E+72,9.09036E+70,5.14%,6.30%,1.16%,0.043108
242,121,7.06739E+72,3.62112E+71,5.12%,5.80%,0.68%,0.040078
244,122,2.82696E+73,1.44251E+72,5.10%,5.50%,0.40%,0.051936
246,123,1.13078E+74,5.74659E+72,5.08%,5.90%,0.82%,0.046227
248,124,4.52313E+74,2.28937E+73,5.06%,4.30%,0.76%,0.085079
250,125,1.80925E+75,9.12084E+73,5.04%,5.50%,0.46%,0.047204
